Industry,GICS Sub-Industry
Energy Equipment & Services,Oil & Gas Drilling
Energy Equipment & Services,Oil & Gas Equipment & Services
"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
Chemicals,Commodity Chemicals
Chemicals,Diversified Chemicals
Chemicals,Fertilizers & Agricultural Chemicals
Chemicals,Industrial Gases
Chemicals,Specialty Chemicals
Construction Materials,Construction Materials
Containers & Packaging,Metal & Glass Containers
Containers & Packaging,Paper Packaging
Metals & Mining,Aluminum
Metals & Mining,Diversified Metals & Mining
Metals & Mining,Copper
Metals & Mining,Gold
Metals & Mining,Precious Metals & Minerals
Metals & Mining,Silver
Metals & Mining,Steel
Paper & Forest Products,Forest Products
Paper & Forest Products,Paper Products
Aerospace & Defense,Aerospace & Defense
Building Products,Building Products
Construction & Engineering,Construction & Engineering
Electrical Equipment,Electrical Components & Equipment
Electrical Equipment,Heavy Electrical Equipment
Industrial Conglomerates,Industrial Conglomerates
Machinery,Construction Machinery & Heavy Trucks
Machinery,Agricultural & Farm Machinery
Machinery,Industrial Machinery
Trading Companies & Distributors,Trading Companies & Distributors
Commercial Services & Supplies,Commercial Printing
Commercial Services & Supplies,Environmental & Facilities Services
Commercial Services & Supplies,Office Services & Supplies
Commercial Services & Supplies,Diversified Support Services
Commercial Services & Supplies,Security & Alarm Services
Professional Services,Human Resource & Employment Services
Professional Services,Research & Consulting Services
Air Freight & Logistics,Air Freight & Logistics
Airlines,Airlines
Marine,Marine
Road & Rail,Railroads
Road & Rail,Trucking
Transportation Infrastructure,Airport Services
Transportation Infrastructure,Highways & Railtracks
Transportation Infrastructure,Marine Ports & Services
Auto Components,Auto Parts & Equipment
Auto Components,Tires & Rubber
Automobiles,Automobile Manufacturers
Automobiles,Motorcycle Manufacturers
Household Durables,Consumer Electronics
Household Durables,Home Furnishings
Household Durables,Homebuilding
Household Durables,Household Appliances
Household Durables,Housewares & Specialties
Leisure Products,Leisure Products
"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
"Textiles, Apparel & Luxury Goods",Footwear
"Textiles, Apparel & Luxury Goods",Textiles
"Hotels, Restaurants & Leisure",Casinos & Gaming
"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
"Hotels, Restaurants & Leisure",Leisure Facilities
"Hotels, Restaurants & Leisure",Restaurants
Diversified Consumer Services,Education Services
Diversified Consumer Services,Specialized Consumer Services
Distributors,Distributors
Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
Multiline Retail,Department Stores
Multiline Retail,General Merchandise Stores
Specialty Retail,Apparel Retail
Specialty Retail,Computer & Electronics Retail
Specialty Retail,Home Improvement Retail
Specialty Retail,Specialty Stores
Specialty Retail,Automotive Retail
Specialty Retail,Homefurnishing Retail
Food & Staples Retailing,Drug Retail
Food & Staples Retailing,Food Distributors
Food & Staples Retailing,Food Retail
Food & Staples Retailing,Hypermarkets & Super Centers
Beverages,Brewers
Beverages,Distillers & Vintners
Beverages,Soft Drinks
Food Products,Agricultural Products
Food Products,Packaged Foods & Meats
Tobacco,Tobacco
Household Products,Household Products
Personal Products,Personal Products
Health Care Equipment & Supplies,Health Care Equipment
Health Care Equipment & Supplies,Health Care Supplies
Health Care Providers & Services,Health Care Distributors
Health Care Providers & Services,Health Care  Services
Health Care Providers & Services,Health Care Facilities
Health Care Providers & Services,Managed Health Care
Health Care Technology,Health Care Technology
Biotechnology,Biotechnology
Pharmaceuticals,Pharmaceuticals
Life Sciences Tools & Services,Life Sciences Tools & Services
Banks,Diversified Banks
Banks,Regional Banks
Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
Diversified Financial Services,Other Diversified Financial Services
Diversified Financial Services,Multi-Sector Holdings
Diversified Financial Services,Specialized Finance
Consumer Finance,Consumer Finance
Capital Markets,Asset Management & Custody Banks
Capital Markets,Investment Banking & Brokerage
Capital Markets,Diversified Capital Markets
Capital Markets,Financial Exchanges & Data
"Mortgage Real Estate Investment 
Trusts (REITs)",Mortgage REITs
Insurance,Insurance Brokers
Insurance,Life & Health Insurance
Insurance,Multi-line Insurance
Insurance,Property & Casualty Insurance
Insurance,Reinsurance
IT Services,IT Consulting & Other Services
IT Services,Data Processing & Outsourced Services
IT Services,Internet Services & Infrastructure
Software,Application Software
Software,Systems Software
Communications Equipment,Communications Equipment
"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments 
"Electronic Equipment, Instruments & Components",Electronic Components
"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services
"Electronic Equipment, Instruments & Components",Technology Distributors
Semiconductors & Semiconductor Equipment,Semiconductor Equipment 
Semiconductors & Semiconductor Equipment,Semiconductors
Diversified Telecommunication Services,Alternative Carriers
Diversified Telecommunication Services,Integrated Telecommunication Services
Wireless Telecommunication Services,Wireless Telecommunication Services
Media,Advertising
Media,Broadcasting
Media,Cable & Satellite
Media,Publishing
Entertainment,Movies & Entertainment
Entertainment,Interactive Home Entertainment
Interactive Media & Services,Interactive Media & Services
Electric Utilities,Electric Utilities
Gas Utilities,Gas Utilities
Multi-Utilities,Multi-Utilities
Water Utilities,Water Utilities
Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
Independent Power and Renewable Electricity Producers,Renewable Electricity 
"Equity Real Estate 
Investment Trusts 
(REITs)",Diversified REITs
"Equity Real Estate 
Investment Trusts 
(REITs)",Industrial REITs
"Equity Real Estate 
Investment Trusts 
(REITs)",Hotel & Resort REITs 
"Equity Real Estate 
Investment Trusts 
(REITs)",Office REITs 
"Equity Real Estate 
Investment Trusts 
(REITs)",Health Care REITs 
"Equity Real Estate 
Investment Trusts 
(REITs)",Residential REITs
"Equity Real Estate 
Investment Trusts 
(REITs)",Retail REITs
"Equity Real Estate 
Investment Trusts 
(REITs)",Specialized REITs 
Real Estate Management & Development,Diversified Real Estate Activities 
Real Estate Management & Development,Real Estate Operating Companies
Real Estate Management & Development,Real Estate Development 
Real Estate Management & Development,Real Estate Services 
